trial,T_n,centered_by_n13,zscore
220,1582,-2.3587999999999965,-1.9783717037055693
221,1602,-0.35879999999999657,-0.30093257897640852
222,1586,-1.9587999999999965,-1.6428838787597371
223,1594,-1.1587999999999965,-0.97190822886807282
224,1594,-1.1587999999999965,-0.97190822886807282
225,1596,-0.95879999999999654,-0.80416431639515673
226,1616,1.0412000000000035,0.87327480833400395
227,1596,-0.95879999999999654,-0.80416431639515673
228,1622,1.6412000000000035,1.3765065457527521
229,1586,-1.9587999999999965,-1.6428838787597371
230,1586,-1.9587999999999965,-1.6428838787597371
231,1590,-1.5587999999999966,-1.3073960538139049
232,1608,0.24120000000000347,0.20229915844233967
233,1606,0.041200000000003456,0.034555245969423609
234,1626,2.0412000000000035,1.7119943706985843
235,1614,0.8412000000000035,0.70553089586108786
236,1610,0.44120000000000348,0.37004307091525573
237,1592,-1.3587999999999965,-1.1396521413409888
238,1612,0.64120000000000343,0.53778698338817177
239,1596,-0.95879999999999654,-0.80416431639515673
240,1614,0.8412000000000035,0.70553089586108786
241,1590,-1.5587999999999966,-1.3073960538139049
242,1610,0.44120000000000348,0.37004307091525573
243,1628,2.2412000000000036,1.8797382831715004
244,1608,0.24120000000000347,0.20229915844233967
245,1612,0.64120000000000343,0.53778698338817177
246,1582,-2.3587999999999965,-1.9783717037055693
247,1588,-1.7587999999999966,-1.475139966286821
248,1600,-0.55879999999999652,-0.46867649144932461
249,1602,-0.35879999999999657,-0.30093257897640852
250,1598,-0.75879999999999659,-0.63642040392224064
251,1592,-1.3587999999999965,-1.1396521413409888
252,1614,0.8412000000000035,0.70553089586108786
253,1622,1.6412000000000035,1.3765065457527521
254,1594,-1.1587999999999965,-0.97190822886807282
255,1608,0.24120000000000347,0.20229915844233967
256,1606,0.041200000000003456,0.034555245969423609
257,1606,0.041200000000003456,0.034555245969423609
258,1602,-0.35879999999999657,-0.30093257897640852
259,1598,-0.75879999999999659,-0.63642040392224064
260,1608,0.24120000000000347,0.20229915844233967
261,1626,2.0412000000000035,1.7119943706985843
262,1616,1.0412000000000035,0.87327480833400395
263,1608,0.24120000000000347,0.20229915844233967
264,1604,-0.15879999999999656,-0.13318866650349245
265,1594,-1.1587999999999965,-0.97190822886807282
266,1596,-0.95879999999999654,-0.80416431639515673
267,1612,0.64120000000000343,0.53778698338817177
268,1594,-1.1587999999999965,-0.97190822886807282
269,1582,-2.3587999999999965,-1.9783717037055693
270,1624,1.8412000000000035,1.5442504582256682
271,1608,0.24120000000000347,0.20229915844233967
272,1606,0.041200000000003456,0.034555245969423609
273,1612,0.64120000000000343,0.53778698338817177
274,1598,-0.75879999999999659,-0.63642040392224064
275,1612,0.64120000000000343,0.53778698338817177
276,1602,-0.35879999999999657,-0.30093257897640852
277,1616,1.0412000000000035,0.87327480833400395
278,1618,1.2412000000000034,1.0410187208069199
279,1600,-0.55879999999999652,-0.46867649144932461
280,1600,-0.55879999999999652,-0.46867649144932461
281,1588,-1.7587999999999966,-1.475139966286821
282,1596,-0.95879999999999654,-0.80416431639515673
283,1608,0.24120000000000347,0.20229915844233967
284,1606,0.041200000000003456,0.034555245969423609
285,1630,2.4412000000000034,2.0474821956444162
286,1594,-1.1587999999999965,-0.97190822886807282
287,1594,-1.1587999999999965,-0.97190822886807282
288,1610,0.44120000000000348,0.37004307091525573
289,1612,0.64120000000000343,0.53778698338817177
290,1604,-0.15879999999999656,-0.13318866650349245
291,1626,2.0412000000000035,1.7119943706985843
292,1608,0.24120000000000347,0.20229915844233967
293,1592,-1.3587999999999965,-1.1396521413409888
294,1606,0.041200000000003456,0.034555245969423609
295,1598,-0.75879999999999659,-0.63642040392224064
296,1598,-0.75879999999999659,-0.63642040392224064
297,1618,1.2412000000000034,1.0410187208069199
298,1604,-0.15879999999999656,-0.13318866650349245
299,1620,1.4412000000000034,1.208762633279836
300,1610,0.44120000000000348,0.37004307091525573
301,1588,-1.7587999999999966,-1.475139966286821
302,1610,0.44120000000000348,0.37004307091525573
303,1604,-0.15879999999999656,-0.13318866650349245
304,1610,0.44120000000000348,0.37004307091525573
305,1592,-1.3587999999999965,-1.1396521413409888
306,1594,-1.1587999999999965,-0.97190822886807282
307,1586,-1.9587999999999965,-1.6428838787597371
308,1608,0.24120000000000347,0.20229915844233967
309,1604,-0.15879999999999656,-0.13318866650349245
310,1588,-1.7587999999999966,-1.475139966286821
311,1608,0.24120000000000347,0.20229915844233967
312,1604,-0.15879999999999656,-0.13318866650349245
313,1630,2.4412000000000034,2.0474821956444162
314,1606,0.041200000000003456,0.034555245969423609
315,1596,-0.95879999999999654,-0.80416431639515673
316,1584,-2.1587999999999967,-1.8106277912326532
317,1616,1.0412000000000035,0.87327480833400395
318,1620,1.4412000000000034,1.208762633279836
319,1598,-0.75879999999999659,-0.63642040392224064
320,1606,0.041200000000003456,0.034555245969423609
321,1602,-0.35879999999999657,-0.30093257897640852
322,1592,-1.3587999999999965,-1.1396521413409888
323,1610,0.44120000000000348,0.37004307091525573
324,1618,1.2412000000000034,1.0410187208069199
325,1606,0.041200000000003456,0.034555245969423609
326,1600,-0.55879999999999652,-0.46867649144932461
327,1608,0.24120000000000347,0.20229915844233967
328,1620,1.4412000000000034,1.208762633279836
329,1604,-0.15879999999999656,-0.13318866650349245
330,1602,-0.35879999999999657,-0.30093257897640852
331,1590,-1.5587999999999966,-1.3073960538139049
332,1614,0.8412000000000035,0.70553089586108786
333,1616,1.0412000000000035,0.87327480833400395
334,1604,-0.15879999999999656,-0.13318866650349245
335,1584,-2.1587999999999967,-1.8106277912326532
336,1620,1.4412000000000034,1.208762633279836
337,1608,0.24120000000000347,0.20229915844233967
338,1612,0.64120000000000343,0.53778698338817177
339,1602,-0.35879999999999657,-0.30093257897640852
340,1610,0.44120000000000348,0.37004307091525573
341,1594,-1.1587999999999965,-0.97190822886807282
342,1608,0.24120000000000347,0.20229915844233967
343,1586,-1.9587999999999965,-1.6428838787597371
