z,density
-1.0020040080160322,0.25801148473358387
-0.98597194388777565,0.26218965306968117
-0.96993987975951912,0.26632945511253009
-0.95390781563126259,0.27043074512266585
-0.93787575150300606,0.27449413383459781
-0.92184368737474953,0.27852096618614192
-0.905811623246493,0.28251324877196343
-0.88977955911823647,0.28647351728421494
-0.87374749498997994,0.29040464049743697
-0.85771543086172342,0.29430956477982662
-0.84168336673346689,0.29819101082277422
-0.82565130260521036,0.30205114136001804
-0.80961923847695383,0.30589122421935383
-0.7935871743486973,0.30971131838207044
-0.77755511022044077,0.31351001132430456
-0.76152304609218424,0.31728423358887331
-0.74549098196392771,0.3210291714258075
-0.72945891783567118,0.32473829090464545
-0.71342685370741465,0.32840347786996216
-0.69739478957915813,0.33201528839678685
-0.6813627254509016,0.33556329499578957
-0.66533066132264551,0.33903650567307442
-0.64929859719438898,0.34242382687362943
-0.63326653306613245,0.3457145379028565
-0.61723446893787592,0.34889874390541903
-0.6012024048096194,0.35196777684981501
-0.58517034068136287,0.35491451888959946
-0.56913827655310634,0.35773362937467595
-0.55310621242484981,0.36042166493089112
-0.53707414829659328,0.36297709060373695
-0.52104208416833675,0.36540018828343079
-0.50501002004008022,0.36769287580748589
-0.48897795591182369,0.36985845574925963
-0.47294589178356716,0.37190131661866643
-0.45691382765531063,0.37382661089922264
-0.4408817635270541,0.37563993408206692
-0.42484969939879758,0.37734702683937915
-0.40881763527054105,0.37895351901593011
-0.39278557114228452,0.38046472957411959
-0.37675350701402799,0.38188553138761944
-0.36072144288577146,0.38322028421313853
-0.34468937875751493,0.38447283362296342
-0.3286573146292584,0.38564656846565537
-0.31262525050100187,0.38674452482129762
-0.29659318637274534,0.38776952068956699
-0.28056112224448881,0.38872430302677202
-0.26452905811623229,0.38961168743563096
-0.24849699398797576,0.39043467096578049
-0.23246492985971923,0.39119650019515634
-0.21643286573146314,0.39190068002790962
-0.20040080160320661,0.39255091334435527
-0.18436873747495008,0.39315096751952777
-0.16833667334669355,0.39370447050316015
-0.15230460921843703,0.39421464612160051
-0.1362725450901805,0.39468400493430955
-0.12024048096192397,0.3951140127352829
-0.10420841683366744,0.3955047630435079
-0.08817635270541091,0.39585468218189551
-0.072144288577154381,0.39616029546097636
-0.056112224448897852,0.39641608042354204
-0.040080160320641323,0.39661442815788361
-0.024048096192384794,0.39674572666799351
-0.0080160320641282645,0.39679857172249666
0.0080160320641278204,0.39676010117259175
0.024048096192384349,0.39661643921177231
0.040080160320640879,0.39635322824751107
0.056112224448897408,0.39595621871698744
0.072144288577153937,0.3954118819340729
0.088176352705410466,0.39470800835747849
0.10420841683366699,0.39383425376305392
0.12024048096192352,0.39278259870183563
0.13627254509018005,0.39154769212147772
0.15230460921843658,0.39012705771338085
0.16833667334669311,0.38852115084884425
0.18436873747494964,0.38673326419644805
0.20040080160320617,0.38476929051964348
0.2164328657314627,0.3826373609800317
0.23246492985971923,0.38034738580684629
0.24849699398797576,0.37791053081823117
0.26452905811623229,0.37533866751192468
0.28056112224448881,0.37264383596362038
0.29659318637274534,0.36983775844937089
0.31262525050100187,0.3669314376089769
0.3286573146292584,0.36393486634922118
0.34468937875751493,0.36085686798831851
0.36072144288577146,0.35770507495972415
0.37675350701402799,0.35448604343714107
0.39278557114228452,0.35120549029937198
0.40881763527054105,0.34786862873278324
0.42484969939879758,0.34448057024667983
0.4408817635270541,0.34104675464051964
0.45691382765531063,0.33757336605749949
0.47294589178356716,0.33406769304502115
0.48897795591182369,0.33053839365295817
0.50501002004008022,0.3269956329242697
0.52104208416833675,0.32345106930618411
0.53707414829659328,0.3199176779327193
0.55310621242484981,0.31640941159384078
0.56913827655310634,0.31294071355280745
0.58517034068136287,0.30952590915484246
0.6012024048096194,0.30617851433756976
0.61723446893787592,0.30291050773913714
0.63326653306613245,0.29973161830711859
0.64929859719438898,0.29664868159099245
0.66533066132264551,0.29366511501253789
0.68136272545090204,0.29078055545501591
0.69739478957915857,0.28799069194643873
0.7134268537074151,0.2852873128089215
0.72945891783567163,0.28265857144313761
0.74549098196392816,0.28008945912756406
0.76152304609218469,0.27756245811984837
0.77755511022044121,0.27505833518951123
0.79358717434869774,0.2725570255645739
0.80961923847695427,0.27003855095933577
0.8256513026052108,0.26748391335323712
0.84168336673346733,0.26487590862501237
0.85771543086172386,0.26219981074675347
0.87374749498998039,0.25944388739665203
0.88977955911823603,0.25659972066167963
0.90581162324649256,0.25366232088285873
0.92184368737474909,0.25063003646654375
0.93787575150300562,0.24750427648299717
0.95390781563126215,0.24428907505440356
